Date : 2021-11-09 09:28:30
Directory : c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart
Total : 376 files,  67226 codes, 4398 comments, 2443 blanks, all 74067 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment                                                                                                                                                  |         13 |      3,450 |        731 |        288 |      4,469 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\DataFactoryCode                                                                                                                                  |          2 |      2,207 |         53 |         33 |      2,293 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts                                                                                                                                          |          9 |        674 |        423 |        149 |      1,246 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Deployment\SqlServerCode                                                                                                                                    |          1 |         95 |        117 |         27 |        239 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\SampleSourceFiles                                                                                                                                           |          1 |     15,812 |          0 |          5 |     15,817 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\SampleSourceFiles\NonprofitAccelerator                                                                                                                      |          1 |     15,812 |          0 |          5 |     15,817 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse                                                                                                                                                   |         48 |      4,388 |        259 |        235 |      4,882 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse                                                                                                                                         |         48 |      4,388 |        259 |        235 |      4,882 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Audit                                                                                                                                   |          2 |         29 |          4 |          6 |         39 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Audit\Tables                                                                                                                            |          1 |         13 |          2 |          5 |         20 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Audit\Views                                                                                                                             |          1 |         16 |          2 |          1 |         19 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control                                                                                                                                 |          7 |        112 |         19 |         34 |        165 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Stored Procedures                                                                                                               |          3 |         70 |         11 |         18 |         99 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Control\Tables                                                                                                                          |          4 |         42 |          8 |         16 |         66 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External                                                                                                                                |          5 |        457 |         10 |         12 |        479 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External Resources                                                                                                                      |          3 |         24 |         21 |          5 |         50 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External Resources\External Data Sources                                                                                                |          1 |          6 |         11 |          3 |         20 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External Resources\External File Formats                                                                                                |          2 |         18 |         10 |          2 |         30 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External\Tables                                                                                                                         |          5 |        457 |         10 |         12 |        479 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\External\Tables\External Tables                                                                                                         |          5 |        457 |         10 |         12 |        479 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted                                                                                                                               |         10 |      3,200 |         95 |         80 |      3,375 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Stored Procedures                                                                                                             |          5 |      2,743 |         85 |         73 |      2,901 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Persisted\Tables                                                                                                                        |          5 |        457 |         10 |          7 |        474 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Presentation                                                                                                                            |          5 |        438 |         10 |         13 |        461 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Presentation\View                                                                                                                       |          5 |        438 |         10 |         13 |        461 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project                                                                                                                                 |          8 |        112 |         75 |         71 |        258 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts                                                                                                                         |          8 |        112 |         75 |         71 |        258 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PostDeployment                                                                                                          |          6 |         57 |         50 |         57 |        164 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Project\Scripts\PreDeployment                                                                                                           |          1 |         51 |         11 |         12 |         74 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Security                                                                                                                                |          8 |         16 |         25 |         14 |         55 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Security\Database Scoped Credential                                                                                                     |          1 |          3 |          3 |          2 |          8 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Security\Master Key                                                                                                                     |          1 |          1 |         10 |          2 |         13 |
| legacy\NonprofitDataWarehouseQuickstartWithCDM\Warehouse\Warehouse\Security\Schema                                                                                                                         |          6 |         12 |         12 |         10 |         34 |
| legacy\NonprofitDataWarehouseQuickstart\DataFactory                                                                                                                                                        |         16 |      1,990 |          0 |          1 |      1,991 |
| legacy\NonprofitDataWarehouseQuickstart\DataFactory\dataset                                                                                                                                                |          4 |        163 |          0 |          0 |        163 |
| legacy\NonprofitDataWarehouseQuickstart\DataFactory\linkedService                                                                                                                                          |          4 |         47 |          0 |          0 |         47 |
| legacy\NonprofitDataWarehouseQuickstart\DataFactory\pipeline                                                                                                                                               |          6 |      1,738 |          0 |          0 |      1,738 |
| legacy\NonprofitDataWarehouseQuickstart\DataFactory\trigger                                                                                                                                                |          1 |         42 |          0 |          0 |         42 |
| legacy\NonprofitDataWarehouseQuickstart\Deployment                                                                                                                                                         |         13 |      3,464 |        728 |        283 |      4,475 |
| legacy\NonprofitDataWarehouseQuickstart\Deployment\DataFactoryCode                                                                                                                                         |          2 |      2,218 |         54 |         33 |      2,305 |
| legacy\NonprofitDataWarehouseQuickstart\Deployment\Scripts                                                                                                                                                 |          9 |        647 |        421 |        147 |      1,215 |
| legacy\NonprofitDataWarehouseQuickstart\Deployment\SqlServerCode                                                                                                                                           |          1 |         95 |        117 |         27 |        239 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse                                                                                                                                                          |         80 |      2,455 |        454 |        375 |      3,284 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse                                                                                                                                                |         80 |      2,455 |        454 |        375 |      3,284 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Audit                                                                                                                                          |          2 |         29 |          4 |          6 |         39 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Audit\Tables                                                                                                                                   |          1 |         13 |          2 |          5 |         20 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Audit\Views                                                                                                                                    |          1 |         16 |          2 |          1 |         19 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Control                                                                                                                                        |          7 |        112 |         19 |         29 |        160 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Control\Stored Procedures                                                                                                                      |          3 |         70 |         11 |         17 |         98 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Control\Tables                                                                                                                                 |          4 |         42 |          8 |         12 |         62 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External                                                                                                                                       |         13 |        250 |         26 |         23 |        299 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External Resources                                                                                                                             |          3 |         24 |         21 |          5 |         50 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External Resources\External Data Sources                                                                                                       |          1 |          6 |         11 |          2 |         19 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External Resources\External File Formats                                                                                                       |          2 |         18 |         10 |          3 |         31 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External\Tables                                                                                                                                |         13 |        250 |         26 |         23 |        299 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\External\Tables\External Tables                                                                                                                |         13 |        250 |         26 |         23 |        299 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted                                                                                                                                      |         26 |      1,654 |        260 |        197 |      2,111 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Stored Procedures                                                                                                                    |         13 |      1,427 |        234 |        183 |      1,844 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Persisted\Tables                                                                                                                               |         13 |        227 |         26 |         14 |        267 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation                                                                                                                                   |         13 |        176 |         26 |         26 |        228 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Presentation\View                                                                                                                              |         13 |        176 |         26 |         26 |        228 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project                                                                                                                                        |          8 |        194 |         73 |         79 |        346 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts                                                                                                                                |          8 |        194 |         73 |         79 |        346 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PostDeployment                                                                                                                 |          6 |         91 |         48 |         68 |        207 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Project\Scripts\PreDeployment                                                                                                                  |          1 |         99 |         11 |          9 |        119 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security                                                                                                                                       |          8 |         16 |         25 |         10 |         51 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Database Scoped Credential                                                                                                            |          1 |          3 |          3 |          2 |          8 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Master Key                                                                                                                            |          1 |          1 |         10 |          2 |         13 |
| legacy\NonprofitDataWarehouseQuickstart\Warehouse\Warehouse\Security\Schema                                                                                                                                |          6 |         12 |         12 |          6 |         30 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                   | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\README.md                                                                             | Markdown   |          0 |          0 |          1 |          1 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset\DS_AdlsCsv.json                                                               | JSON       |         44 |          0 |          0 |         44 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset\DS_AdlsParquet.json                                                           | JSON       |         41 |          0 |          0 |         41 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset\DS_BlobCsv.json                                                               | JSON       |         62 |          0 |          0 |         62 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\dataset\DS_SynapseAnalytics.json                                                      | JSON       |         16 |          0 |          0 |         16 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService\LS_ADLS.json                                                            | JSON       |         10 |          0 |          0 |         10 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService\LS_BLOB.json                                                            | JSON       |         10 |          0 |          0 |         10 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService\LS_KeyVault.json                                                        | JSON       |         10 |          0 |          0 |         10 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\linkedService\LS_SynapseAnalytics.json                                                | JSON       |         17 |          0 |          0 |         17 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_ChangeSynapseAnalyticsState.json                                          | JSON       |        376 |          0 |          0 |        376 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_CopyFromAdlsToPersisted.json                                              | JSON       |        226 |          0 |          0 |        226 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_CopyFromBlobToAdls.json                                                   | JSON       |        319 |          0 |          0 |        319 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_MasterOrchestrate.json                                                    | JSON       |        240 |          0 |          0 |        240 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_OrchestrateIngest.json                                                    | JSON       |        300 |          0 |          0 |        300 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\pipeline\PL_OrchestrateTransformation.json                                            | JSON       |        284 |          0 |          0 |        284 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\DataFactory\trigger\Disable Synapse Analytics.json                                                | JSON       |         42 |          0 |          0 |         42 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\Deployment\DataFactoryCode\Deploy-AzureDataFactoryCode.ps1                                        | PowerShell |        105 |         53 |         34 |        192 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\Deployment\DataFactoryCode\azuredeploy.json                                                       | JSON       |      2,102 |          0 |          0 |      2,102 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\Deployment\DeployOrchestrator.ps1                                                                 | PowerShell |        474 |        138 |         80 |        692 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Add-KeyVaultPolicy.ps1                                                         | PowerShell |        111 |         59 |         27 |        197 |
| c:\github\Nonprofits-desktop\Nonprofit Data Warehouse Quickstart\NonprofitDataWarehouseQuickstartWithCDM\Deployment\Scripts\Create-SqlServerMsi.ps1                                                        | PowerShell |         28 |         43 |          8 |         79 |
